model,pair_id,metric,value,ci_low,ci_high,n
openclip_rn50,core,mean_margin_false_vs_generic,0.0185958962015589,0.0145562187667028,0.0230122928574047,74
openclip_rn50,core,mean_margin_false_vs_detailed_generic,-0.0026574291680268,-0.0071565902166944,0.001601328265378,74
openclip_rn50,core,false_negated_win_rate_over_generic,0.8513513513513513,0.7702702702702703,0.918918918918919,74
openclip_rn50,core,false_negated_win_rate_over_detailed_generic,0.4054054054054054,0.2972972972972973,0.5135135135135135,74
openclip_rn50,core,false_negated_win_rate_over_positive,0.0405405405405405,0.0,0.0945945945945946,74
openclip_rn50,core,top_positive_rate,0.918918918918919,0.8513513513513513,0.972972972972973,74
openclip_rn50,photo,mean_margin_false_vs_generic,0.0124282414103563,0.0079639576064793,0.0169713744792958,74
openclip_rn50,photo,mean_margin_false_vs_detailed_generic,-0.0086805182377542,-0.0131092097295798,-0.0041259069532567,74
openclip_rn50,photo,false_negated_win_rate_over_generic,0.7567567567567568,0.6621621621621622,0.8513513513513513,74
openclip_rn50,photo,false_negated_win_rate_over_detailed_generic,0.2702702702702703,0.1756756756756756,0.3783783783783784,74
openclip_rn50,photo,false_negated_win_rate_over_positive,0.0405405405405405,0.0,0.0945945945945946,74
openclip_rn50,photo,top_positive_rate,0.918918918918919,0.8513513513513513,0.972972972972973,74
openclip_rn50,visible,mean_margin_false_vs_generic,0.0167980159769403,0.0125523706328991,0.0211822490786443,74
openclip_rn50,visible,mean_margin_false_vs_detailed_generic,0.0023532595970487,-0.0019630149546233,0.0067235461337641,74
openclip_rn50,visible,false_negated_win_rate_over_generic,0.8243243243243243,0.7297297297297297,0.9054054054054054,74
openclip_rn50,visible,false_negated_win_rate_over_detailed_generic,0.527027027027027,0.4189189189189189,0.6486486486486487,74
openclip_rn50,visible,false_negated_win_rate_over_positive,0.0675675675675675,0.0135135135135135,0.1351351351351351,74
openclip_rn50,visible,top_positive_rate,0.8918918918918919,0.8108108108108109,0.9594594594594594,74
openclip_rn50,without,mean_margin_false_vs_generic,0.0283153782182335,0.0246696360489404,0.0324546844996517,74
openclip_rn50,without,mean_margin_false_vs_detailed_generic,0.0094680703449796,0.0051975958711605,0.0137466274501627,74
openclip_rn50,without,false_negated_win_rate_over_generic,0.945945945945946,0.8783783783783784,0.9864864864864864,74
openclip_rn50,without,false_negated_win_rate_over_detailed_generic,0.7297297297297297,0.6216216216216216,0.8243243243243243,74
openclip_rn50,without,false_negated_win_rate_over_positive,0.1081081081081081,0.0405405405405405,0.1756756756756756,74
openclip_rn50,without,top_positive_rate,0.8513513513513513,0.7567567567567568,0.9324324324324323,74
openclip_rn50,field,mean_margin_false_vs_generic,0.0300806822644997,0.0284130067256417,0.0317283065080897,74
openclip_rn50,field,mean_margin_false_vs_detailed_generic,0.0098760671475116,0.0079136484638131,0.0115033572070673,74
openclip_rn50,field,false_negated_win_rate_over_generic,0.9864864864864864,0.945945945945946,1.0,74
openclip_rn50,field,false_negated_win_rate_over_detailed_generic,0.918918918918919,0.8648648648648649,0.972972972972973,74
openclip_rn50,field,false_negated_win_rate_over_positive,0.054054054054054,0.0135135135135135,0.1081081081081081,74
openclip_rn50,field,top_positive_rate,0.918918918918919,0.8513513513513513,0.972972972972973,74
openclip_vit_b16_openai,core,mean_margin_false_vs_generic,0.0129307709674929,0.0091789375857064,0.0170330113317785,74
openclip_vit_b16_openai,core,mean_margin_false_vs_detailed_generic,-0.0033481618208497,-0.0075853077464713,0.0011322061908266,74
openclip_vit_b16_openai,core,false_negated_win_rate_over_generic,0.7567567567567568,0.6618243243243244,0.8381756756756754,74
openclip_vit_b16_openai,core,false_negated_win_rate_over_detailed_generic,0.4189189189189189,0.2972972972972973,0.527027027027027,74
openclip_vit_b16_openai,core,false_negated_win_rate_over_positive,0.081081081081081,0.027027027027027,0.1486486486486486,74
openclip_vit_b16_openai,core,top_positive_rate,0.8918918918918919,0.8108108108108109,0.9594594594594594,74
openclip_vit_b16_openai,photo,mean_margin_false_vs_generic,0.0002162560754598,-0.0039919374547044,0.0043356314452939,74
openclip_vit_b16_openai,photo,mean_margin_false_vs_detailed_generic,-0.0184562344372259,-0.0225395539561299,-0.013970432070129,74
openclip_vit_b16_openai,photo,false_negated_win_rate_over_generic,0.4864864864864865,0.3783783783783784,0.5945945945945946,74
openclip_vit_b16_openai,photo,false_negated_win_rate_over_detailed_generic,0.1621621621621621,0.081081081081081,0.2435810810810807,74
openclip_vit_b16_openai,photo,false_negated_win_rate_over_positive,0.054054054054054,0.0135135135135135,0.1081081081081081,74
openclip_vit_b16_openai,photo,top_positive_rate,0.918918918918919,0.8513513513513513,0.972972972972973,74
openclip_vit_b16_openai,visible,mean_margin_false_vs_generic,0.0233594663362644,0.0194792260368459,0.0272136619058048,74
openclip_vit_b16_openai,visible,mean_margin_false_vs_detailed_generic,0.0079792026567849,0.0044742586522917,0.012159926439453,74
openclip_vit_b16_openai,visible,false_negated_win_rate_over_generic,0.9324324324324323,0.8648648648648649,0.9864864864864864,74
openclip_vit_b16_openai,visible,false_negated_win_rate_over_detailed_generic,0.7027027027027027,0.5945945945945946,0.8108108108108109,74
openclip_vit_b16_openai,visible,false_negated_win_rate_over_positive,0.1216216216216216,0.054054054054054,0.2027027027027027,74
openclip_vit_b16_openai,visible,top_positive_rate,0.8648648648648649,0.7837837837837838,0.9324324324324323,74
openclip_vit_b16_openai,without,mean_margin_false_vs_generic,0.0192679660189896,0.0153378923156383,0.0233159854599006,74
openclip_vit_b16_openai,without,mean_margin_false_vs_detailed_generic,-0.0010436366349068,-0.0055670284570304,0.0030244008095971,74
openclip_vit_b16_openai,without,false_negated_win_rate_over_generic,0.8513513513513513,0.7567567567567568,0.9324324324324323,74
openclip_vit_b16_openai,without,false_negated_win_rate_over_detailed_generic,0.4864864864864865,0.3783783783783784,0.5945945945945946,74
openclip_vit_b16_openai,without,false_negated_win_rate_over_positive,0.081081081081081,0.027027027027027,0.1486486486486486,74
openclip_vit_b16_openai,without,top_positive_rate,0.8783783783783784,0.7972972972972973,0.945945945945946,74
openclip_vit_b16_openai,field,mean_margin_false_vs_generic,0.0271630393229144,0.0254483807716106,0.0286168705801909,74
openclip_vit_b16_openai,field,mean_margin_false_vs_detailed_generic,0.0077400594365579,0.0060311646113911,0.0091494113383307,74
openclip_vit_b16_openai,field,false_negated_win_rate_over_generic,0.9864864864864864,0.945945945945946,1.0,74
openclip_vit_b16_openai,field,false_negated_win_rate_over_detailed_generic,0.9324324324324323,0.8783783783783784,0.9864864864864864,74
openclip_vit_b16_openai,field,false_negated_win_rate_over_positive,0.054054054054054,0.0135135135135135,0.1081081081081081,74
openclip_vit_b16_openai,field,top_positive_rate,0.945945945945946,0.8915540540540541,1.0,74
openclip_vit_b16_siglip,core,mean_margin_false_vs_generic,0.0382465520802974,0.0343351397963526,0.0425174662022448,74
openclip_vit_b16_siglip,core,mean_margin_false_vs_detailed_generic,0.008866083834088,0.0046815467550581,0.0133262349303917,74
openclip_vit_b16_siglip,core,false_negated_win_rate_over_generic,0.972972972972973,0.9324324324324323,1.0,74
openclip_vit_b16_siglip,core,false_negated_win_rate_over_detailed_generic,0.6756756756756757,0.5807432432432432,0.7837837837837838,74
