model,scenario,prompt_group,metric,value,ci_low,ci_high,n
openclip_rn50,kitchen_table,base,mean_positive_specificity_gain,0.0170552720150999,0.0155448845170234,0.0185710577351684,193
openclip_rn50,kitchen_table,base,mean_false_absence_tolerance,0.0083361770993703,0.0071502314419201,0.0094803678072018,193
openclip_rn50,kitchen_table,base,positive_top_rate,0.9844559585492229,0.9637305699481864,1.0,193
openclip_rn50,kitchen_table,base,false_negative_top_rate,0.005181347150259,0.0,0.0155440414507772,193
openclip_rn50,kitchen_table,photo_prefix,mean_positive_specificity_gain,0.0182515117467424,0.0165115638191049,0.0199039182813787,193
openclip_rn50,kitchen_table,photo_prefix,mean_false_absence_tolerance,0.0097945844457269,0.0082964145269743,0.0112089747481487,193
openclip_rn50,kitchen_table,photo_prefix,positive_top_rate,0.9533678756476685,0.922279792746114,0.9792746113989638,193
openclip_rn50,kitchen_table,photo_prefix,false_negative_top_rate,0.0155440414507772,0.0,0.0362694300518134,193
openclip_rn50,kitchen_table,visible,mean_positive_specificity_gain,0.0215725772325695,0.0199368577705288,0.0231763944801636,193
openclip_rn50,kitchen_table,visible,mean_false_absence_tolerance,0.0138589521779304,0.0128861623919904,0.0148570915967201,193
openclip_rn50,kitchen_table,visible,positive_top_rate,0.8860103626943006,0.8393782383419689,0.922279792746114,193
openclip_rn50,kitchen_table,visible,false_negative_top_rate,0.1088082901554404,0.0621761658031088,0.1503886010362693,193
openclip_rn50,kitchen_table,containing,mean_positive_specificity_gain,0.0130098369081012,0.0115689178117457,0.014451402993393,193
openclip_rn50,kitchen_table,containing,mean_false_absence_tolerance,0.0058839184102713,0.0047140118163447,0.0071071257818788,193
openclip_rn50,kitchen_table,containing,positive_top_rate,0.922279792746114,0.8860103626943006,0.9585492227979274,193
openclip_rn50,kitchen_table,containing,false_negative_top_rate,0.0414507772020725,0.0155440414507772,0.0725388601036269,193
openclip_rn50,street_car,base,mean_positive_specificity_gain,0.0230481047630894,0.0211501166747999,0.0250794849371055,170
openclip_rn50,street_car,base,mean_false_absence_tolerance,0.021001482245495,0.0191390180317222,0.0228327976674693,170
openclip_rn50,street_car,base,positive_top_rate,0.4941176470588235,0.4176470588235294,0.5705882352941176,170
openclip_rn50,street_car,base,false_negative_top_rate,0.4823529411764706,0.4058823529411764,0.5588235294117647,170
openclip_rn50,street_car,photo_prefix,mean_positive_specificity_gain,0.0205580929827772,0.0184414524688046,0.022710331963912,170
openclip_rn50,street_car,photo_prefix,mean_false_absence_tolerance,0.0135571128305453,0.011807206655499,0.0152826546053503,170
openclip_rn50,street_car,photo_prefix,positive_top_rate,0.6470588235294118,0.5764705882352941,0.7176470588235294,170
openclip_rn50,street_car,photo_prefix,false_negative_top_rate,0.3294117647058823,0.2588235294117647,0.4,170
openclip_rn50,street_car,visible,mean_positive_specificity_gain,0.0224146386936041,0.0204298022215545,0.0245212486197095,170
openclip_rn50,street_car,visible,mean_false_absence_tolerance,0.0165694858297599,0.0149075680997347,0.0181879975564505,170
openclip_rn50,street_car,visible,positive_top_rate,0.7411764705882353,0.6764705882352942,0.8058823529411765,170
openclip_rn50,street_car,visible,false_negative_top_rate,0.2176470588235294,0.1586764705882353,0.2823529411764706,170
openclip_rn50,street_car,containing,mean_positive_specificity_gain,0.0202663558182841,0.0182245503037281,0.0221304200621436,170
openclip_rn50,street_car,containing,mean_false_absence_tolerance,0.0123000929133371,0.0105518312649504,0.0140690238203849,170
openclip_rn50,street_car,containing,positive_top_rate,0.7764705882352941,0.7176470588235294,0.8352941176470589,170
openclip_rn50,street_car,containing,false_negative_top_rate,0.1764705882352941,0.1235294117647058,0.2352941176470588,170
openclip_rn50,cat_sofa,base,mean_positive_specificity_gain,0.0415963528606275,0.038292137449051,0.0441311689882211,37
openclip_rn50,cat_sofa,base,mean_false_absence_tolerance,0.0346649999614588,0.0322390415002656,0.0370587780961089,37
openclip_rn50,cat_sofa,base,positive_top_rate,0.945945945945946,0.8648648648648649,1.0,37
openclip_rn50,cat_sofa,base,false_negative_top_rate,0.054054054054054,0.0,0.1351351351351351,37
openclip_rn50,cat_sofa,photo_prefix,mean_positive_specificity_gain,0.0431721642596984,0.0383645059974741,0.0467891837194363,37
openclip_rn50,cat_sofa,photo_prefix,mean_false_absence_tolerance,0.0348636748920799,0.032303614952216,0.0372092222696946,37
openclip_rn50,cat_sofa,photo_prefix,positive_top_rate,0.945945945945946,0.8648648648648649,1.0,37
openclip_rn50,cat_sofa,photo_prefix,false_negative_top_rate,0.054054054054054,0.0,0.1351351351351351,37
openclip_rn50,cat_sofa,visible,mean_positive_specificity_gain,0.0435530243817135,0.0398907145120652,0.0467899868197466,37
openclip_rn50,cat_sofa,visible,mean_false_absence_tolerance,0.0326571054311541,0.0296813047109942,0.0353157077950189,37
openclip_rn50,cat_sofa,visible,positive_top_rate,0.945945945945946,0.8648648648648649,1.0,37
openclip_rn50,cat_sofa,visible,false_negative_top_rate,0.054054054054054,0.0,0.1351351351351351,37
openclip_rn50,cat_sofa,containing,mean_positive_specificity_gain,0.0399278765159826,0.0360220024946526,0.0427049563278059,37
openclip_rn50,cat_sofa,containing,mean_false_absence_tolerance,0.033629140387799,0.0309108794762532,0.0361531264342637,37
openclip_rn50,cat_sofa,containing,positive_top_rate,0.945945945945946,0.8648648648648649,1.0,37
openclip_rn50,cat_sofa,containing,false_negative_top_rate,0.027027027027027,0.0,0.1081081081081081,37
openclip_rn50,person_beach,base,mean_positive_specificity_gain,0.0181500829287016,0.0153229820183877,0.0209426214512019,30
openclip_rn50,person_beach,base,mean_false_absence_tolerance,0.0050793472467116,0.0023538333388159,0.0076398315132596,30
openclip_rn50,person_beach,base,positive_top_rate,0.9,0.7666666666666667,1.0,30
openclip_rn50,person_beach,base,false_negative_top_rate,0.1,0.0,0.2008333333333326,30
openclip_rn50,person_beach,photo_prefix,mean_positive_specificity_gain,0.0167311771374768,0.0139768841188412,0.0195150987932006,30
openclip_rn50,person_beach,photo_prefix,mean_false_absence_tolerance,-0.0048147225998475,-0.0072703134913433,-0.0022353822041737,30
openclip_rn50,person_beach,photo_prefix,positive_top_rate,0.9666666666666668,0.9,1.0,30
openclip_rn50,person_beach,photo_prefix,false_negative_top_rate,0.0,0.0,0.0,30
openclip_rn50,person_beach,visible,mean_positive_specificity_gain,0.0241757942980458,0.021178787885629,0.0272585254976346,30
openclip_rn50,person_beach,visible,mean_false_absence_tolerance,0.0057254523280148,0.0019635548431472,0.0098838487080245,30
openclip_rn50,person_beach,visible,positive_top_rate,1.0,1.0,1.0,30
openclip_rn50,person_beach,visible,false_negative_top_rate,0.0,0.0,0.0,30
